Pilka nozna	W którym roku Polska zdobyła mistrzostwo olimpijskie w piłce nożnej?	1952	1960	1972	1976
Pilka nozna	Kto jest najdroższym polskim piłkarzem w historii?	Robert Lewandowski	Arkadiusz Milik	Grzegorz Krychowiak	Jerzy Dudek
Pilka nozna	Jaki wynik w dwumeczu osiągnęła Legia Warszawa w Lidze Mistrzów w sezonie 2016/17 rywalizując z Realem Madryt?	4-8	1-5	3-3	2-6
Pilka nozna	Która drużyna jest najbardziej utytułowanym klubem w Anglii (łączna liczba trofeów)?	Manchester United	Liverpool FC	Arsenal Londym	Chelsea Londyn
Pilka nozna	Kto jest najdroższym piłkarzem w historii?	Cristiano Ronaldo	Neymar Jr	Paul Pogba	Lionel Messi
Pilka nozna	W którym roku odbyła się pierwsza kolejka Polskiej Ligi Piłki Nożnej?	1925	1927	1945	1946
Pilka nozna	Inter Mediolan, Real Madryt, FC Barcelona, PSV Eindhoven, AC Milan. Kto występował w tych wszystkich klubach?	Ronaldo	Zlatan Ibrahimovic	Johan Cruyf 	Marco van Basten
Pilka nozna	Która drużyna najwięcej razy (5) wygrała Ligę Europy (poprzednio Puchar UEFA)?	Inter Mediolan	Juventus Turyn	Real Madryt	Sevilla FC
Pilka nozna	Kto jest obecnym mistrzem świata?	Niemiec	Argentyny	Brazyli 	Włoch
Pilka nozna	Kto był pierwszym zwycięzcą Złotej Piłki?	Alfredi di Stefano	Ferenc Puskas	Stanley Matthews	Raymond Kopaszewski
Biologia	W którym wieku została wymyślona nazwa dziedziny nauki "biologia"	XIII	XV	XIX	XVII
Biologia	Jaki nukleotyd łączy się z tyminą?	 adenina	cytozyna 	guanina	adrenalina
Biologia	W jaki sposób rozmnażają się drożdże?	przez pączkowanie	przez regenerację	poprzez zarodniki	poprzez podział komórki
Biologia	Ile u człowieka występuje nerwów rdzeniowych?	39 par	31 par	65 par	44 pary
Biologia	Jak nazywa się najmniejsza jednostka budulcowa i funkcjonalna organizmu?	nerw	bakteria	mitochondrium	komórka
Biologia	Jaki proces przeprowadzany jest przez rośliny zielone w celu uzyskania pokarmu?	eagulacja	fotosynteza	chemosynteza	rozmnażanie
Biologia	Do jakiego królestwa należą organizmy nieposiadające jądra komurkowego?	grzybów	roślin	bakteri	protistów
Biologia	Czym jest plazmoliza?	utratą wody przez cytoplazme	nadmiarem wody w cytoplaźmie	transpiracją	podziałem komórki
Biologia	Co zaliczamy do plastydów?	wodniczki	mitochondrium	chloroplasty	aparat Golgiego
Biologia	Jak nazywamy proces doprowadzenia pokarmu do postaci wchłanialnej do krwi?	rozpadem	syntezą
Gramatyka i ortografia	Ile przypadków jest w języku polskim?	5	6	7	8
Gramatyka i ortografia	Jak nazywają się nieodmienne częśći mowy (jest ich 5)?	Przysłówek, przyimek, partykuła, czasownik, rzeczownik	Przysłówek, spójnik, partykuła, czasownik, przymiotnik	rzeczownik, przysłówek, wykrzyknik, zaimek, liczebnik	Przysłówek, przyimek, partykuła, spójnik, wykrzyknik
Gramatyka i ortografia	Ile jest trybów mowy w języku polskim?	1	2	3	4
Gramatyka i ortografia	Która część mowy odpowiada na pytanie "co się z nim dzieje?"?	zaimek	rzeczownik	czasownik	przysłówek
Gramatyka i ortografia	Która część mowy jako jedyna odmienia się przez osoby?	rzeczownik	czasownik	przyimek	zaimek
Gramatyka i ortografia
Gramatyka i ortografia
Gramatyka i ortografia
Gramatyka i ortografia
Gramatyka i ortografia
Mity i dzieje starozytne	Kto był królem podziemi w mitologii greckiej?	Hades	Zeus	Achilles	Uranos
Mity i dzieje starozytne	Ile plag zostało zesłanych na Egipt przez Boga Jahwe?	7	10	12	15
Mity i dzieje starozytne	Bogiem czego w mitologii rzymskiej był Jowisz?	mórz i oceanów	wojny	ziemi	nieba
Mity i dzieje starozytne	Kto wyruszył po Eurydykę do Hadesu?	Herkules	Orfeusz	Palmignion	Cefeusz
Mity i dzieje starozytne	Kto wyruszył na wyprawę po Złote Runo?	Jazon	Morfeusz	Scytian	Orpteniusz
Mity i dzieje starozytne	Jaki heros brał udział w podboju Troi?	Misfonides	Apollo	Achilles	Midas
Mity i dzieje starozytne	Jak nazywał się na wpół legendarny król sumeryjskiego miasta Unug?	Usunug III	Gilgamesz	Karb'gell	Tyrion Lanister
Mity i dzieje starozytne	jak nazywamy rodzaj grobowca spotykanego w starożytnym Egipcie, mającego kształt ściętego ostrosłupa na prostokątnym planie?	Piramida	Sfinks	Mastaba	Kirmira
Mity i dzieje starozytne	Jak miała na imię starożytna królowa, która popełniłą samobójstwo z użyciem jadu węża?	Kleopatra	Helena	Misfonida	Korgo
Mity i dzieje starozytne	Jak nazywał się bezpośredni następca Cezara?	Oktawian	Neron	Anotniusz	Tyberiusz
Filozofia i religie	Jak nazywa się bóg  identyfikowany z dwoma swoimi Awatarami: Kryszną i Ramą?	Wisznu	Krychy	Asura	Śiwa
Filozofia i religie	Do czego służy puryfikaterz?	do wycierania do sucha	do podpalania świec	jako talerzyk	jako mały obrusik
Filozofia i religie	Z tworzona jest mandala?	z kolorowego piasku	ze skruszonych muszli	ze zmielonych kości	ze szklanych kulek
Filozofia i religie	Co zakłada dandyzm?	wyszukaną, przesadną elegancję	nadmierne stosowanie afrodyzjaków	wyniszczenie form oficjalnych	skupienie na przemijaniu
Filozofia i religie	Jaką religię wyznają koptowie?	buddyzm	islam	judaizm	katolicyzm
Filozofia i religie	jak nazywam się święta księga islamu?	Tora	Tanach	Koran	Weda
Filozofia i religie	Pod jakimi warunkami w kościele katolickim kobiety mogą być wyświęcane na księży?	za zgodą arcybiskupa	nigdy	za specjalną zgodą papieża	tylko jeśli będą uznane przez synod
Filozofia i religie	Dajalama to przywódca duchowy wyznawców jakiej religii?	buddyzmu	hinduizmu	katolicyzmu	judaizmu
Filozofia i religie	Czym jest Opus Dei?	kultem satanistycznym z XIX wieku	organizacją charytatywną	instytucją kościoła rzymskokatolickiego	sektą działająca w Hiszpani
Filozofia i religie	Jakie jest najważniejsze dzieło napisane przez Sokratesa?	Republika	żadne	Nauka Logiki	Krytyka Czystego Rozumu
Film polski	Jaki brzmi pseudonim Marcina Opałki w filmach "Pitbull Nowe porządki" oraz "Pitbull Niebezpieczne kobiety" granego przez Tomasza Oświecińskiego?	Strachu 	Stachu 	Zeus 	Posejdon	1.jpg
Film polski	Który Polski bohater krzyczał do Niemca "palce", a ten usłyszał "panze"?	Franciszek Dolas	Grzegorz Brzęczyszczykiewicz	Alojzy Stonoga	Stanisław Anioł
Film polski	Kto jest reżyserem filmu "Seksmisja"?	Andrzej Wajda 	Juliusz Machulski	Roman Polański	Stanisław Bareja
Film polski	Z jakiego filmu pochodzi ten kadr?	Sami Swoi	Nie lubię poniedziałku	Alternatywy 4	Miś	a.png
Film polski	W którym roku rozgrywa się akcja "Seksmisji"?	w 2055	w 2078	w 2020	w 2044
Film polski	Z jakiego powiatu miał pochodzić Grzegorz Brzęczyszczykiewicz?	Żarzęz	Kąkla	Łękołody	Chrząszczyceboszyce			Materiał filmowy1
Film polski	Kto zagrał Jacka Soplicę w "Panu Tadeuszu" Andrzeja Wajdy?	Bogusław Linda	Michał Żebrowski	Daniel Olbrychski	Marek Kondrat
Film polski	W jakiej branży zostają zatrudnieni bohaterowie filmu "Pieniądze to nie wszystko" na samym jego końcu ?	w mleczarstwie	w przetwórstwie krewetek	w przemyśle alkoholowym	w tekstyliach
Film polski	Kto zagrał w ekranizacji "Ogniem i mieczem" Onufrego Zagłobę?	Andrzej Grabowski	Wiktor Zborowski	Krzysztof Kowalewski	Zbigniew Zamachowski
Film polski	O którym znanym artyście opowiada film "Pianista"?	o Karolu Szymanowskim	o Fryderyku Chopinie	o Władysławie Szpilmanie	o Zbigniewie Drzewieckim
Film światowy	Kto grał Marka Watneya w filmie "Marsjanin"?	Johny Depp	Brad Pitt	George Clooney	Matt Damon
Film światowy	Którym z kolei Jamesem Bondem był Pierce Brosnan?	drugim	piątym	szóstym	siódmym
Film światowy	Jak brzmi tytuł filmu promowanego przez ten plakat? 	Skazani na Shawshank	Nietykalni	Doctor No.	Naga broń	2.jpg
Film światowy	Kogo grał Morgan Freeman w filmie "Evan Wszechmogący"?	Rapera	Zabójcę 	Boga	Żyda
Film światowy	Ilu braci stracił na wojnie "Szeregowiec Ryan"?	2	3	1	4
Film światowy	Kto grał Matyldę w filmie "Leon Zawodowiec"?	Penélope Cruz	Natalie Portman	Angelina Jolie	Sandra Bullock
Film światowy	Ile lat miał Leonardo DiCaprio gdy zadebiutował na dużym ekranie?	17	10	9	15
Film światowy	Kto grał brata postaci granej przez Johnny'ego Deppa w filmie "Co gryzie Gilberta Grape'a"?	George Clooney	Leonardo DiCaprio	Brad Pitt	Matt Damon
Film światowy
Film światowy
Seriale	Jak nazywa się najdłużej nadawany serial na świecie?	Guiding Light	Moda na sukces	Doctor Who	Stargate SG1
Seriale	Jak nazywa się serial SF, w którym bohaterowie przenoszą się na inne planety po przez okrąg z inskrypcjami?	Startrek 	Star Wars 	Stargate SG1	Stardoor
Seriale	Jak nazywa się odtwórczyni roli Daenerys Targaryen w serialu "Gra o Tron"?	Emma Watson 	Emilia Clarke	Emma Stone	Emily Ratajkowski
Seriale	W jakim mieście toczy się akcja serialu "Californication"?	w Los Angeles	w Nowym Jorku	w Las Vegas	San Diego
Seriale	Główny bohater serialu "Breaking bad" jest nauczycielem. Jakiego przedmiotu uczy?	fizyki	chemii	matematyki	angielskiego
Seriale
Seriale
Seriale
Seriale
Seriale
Literatura polska	Ile "Trenów" napisał Jan Kochanowski do swojej zmarłej córki Urszulki?	18	19	20	21
Literatura polska	Kto napisał "Cudzoziemkę"?	Zofia Nałkowska	Maria Kuncewiczowa	Eliza Orzeszkowa	 Maria Konopnicka
Literatura polska	Z którego wiersza Adama Mickiewicza pochodzi cytat: "Miej serce i patrzaj w serce"?	Romantyczność	Niepewność	Powrót taty	Lilie
Literatura polska	W kim był zakochany Stanisław Wokulski?	w Justynie Orzelskiej	w Elżbiecie Bieckiej	w Joannie Podborskiej	w Izabeli Łęckiej
Literatura polska
Literatura polska
Literatura polska
Literatura polska
Literatura polska
Literatura polska
Literatura światowa	Jaka choroba jest tytułem jednej z powieści Alberta Camusa?	dżuma	malaria	gruźlica	tyfus
Literatura światowa	Z ilu kręgów składało się Piekło w "Boskiej komedii" Dantego?	10	7	9	5
Literatura światowa	Jaką cechę charakterystyczną miała tytułowa bohaterka powieści "Ania z Zielonego Wzgórza"?	rude włosy	nieprzeciętny wzrost	czarne oczy	kulała na jedną nogę
Literatura światowa	Jak nazywał się skwer, na którym zaczyna się akcja "Mistrza i Małgorzaty" Bułhakowa?	Czistyje Prudy	Kolomynskoje	Ostankino	Patriarsze Prudy
Literatura światowa	Na jaką rybę poluje główny bohater "Starego człowieka i morza"?	Marlina	Halibut	Jesiotra	Łososia
Literatura światowa
Literatura światowa
Literatura światowa
Literatura światowa
Literatura światowa
Historia sztuki	Z jakim wydarzeniem historycznym wiąże się obraz Piotra Michałowskiego “Szarża w wąwozie Somosierra”?	Kampania napoleońska w Hiszpanii	Wiosna Ludów	powstanie kościuszkowskie	Lata ciemne	o1.jpg
Historia sztuki	Jaka wiadomość smuci Stańczyka na znanym obrazie Jana Matejki z 1862 roku?	o śmierci Władysława Warneńczyka pod Warną	o utracie Smoleńska na rzecz Rosji	o przegranej z Tatarami bitwie pod Sokalem 	o przegranej husarii pod Żółtymi Wodami	o2.jpg
Historia sztuki	Gdzie przez 369 lat od powstania stał Dawid Michała Anioła, pierwszy nagi posąg od czasów starożytnych?	W Muzeum Pio-Clementino Muzeum Watykańskiego	Na Piazza della Signoria we Florencji	W Muzeum Chiaramonti Muzeum Watykańskiego	Na szczycie Schodów Hiszpańskich w Rzymie	o3.jpg
Historia sztuki	Który obraz przypisywany Rafaelowi Santiemu, zakupiony przez Czartoryskich i zaginiony w 1945 roku, znajdował się w Krakowie?	Papież Juliusz II	Portret młodzieńca	1. Madonna ze szczygłem	1. Przemienienie Pańskie	o4.jpg
Historia sztuki	Hans Holbein był nadwornym malarzem jakiego europejskiego króla?	Henryka VIII	Króla Słońce	Maksymiliana II	Zygmunta II Augusta
Historia sztuki	Czym są propyleje?	monumentalna budowla bramna w antycznej Grecji	ulicami przecinającymi się pod kątem prostym w centrum rzymskiego miasta	greckimi wazami o szerokim brzuścu zdobionym scenami mitologicznymi	terakotowymi figurkami, typowymi dla czasów hellenistycznych
Historia sztuki	Jak nazywamy motyw dekoracyjno-symboliczny, złożony najczęściej z broni białej i uzbrojenia ochronnego, ułożonych w pionie i symetrycznie?	panoplium	ryzalit	bukranion	feston
Historia sztuki	Czym nienaturalnym w wyglądzie charakteryzował się asyryjski lamassu, przedstawiający skrzydlatego byka o ludzkiej twarzy?	Ogon skorpiona	Rogi kozicy	Szyja żyrafy	Pięć nóg
Historia sztuki	W którym wieku powstała burleska?	XVIII	XV	XI	XXI
Historia sztuki	Od czego pochodzi nazwa stylu gotyk?	od angielskiego słowa God (Bóg)	od nazwiska Johanna Wolfganga von Goethe	od gotów (barbarzynców)	od nazwy serii gier Gothic
Świat polityki	Ile lat trwała prezydentura Aleksandra Kwaśniewsiego?	10	8	12	6
Świat polityki	Jak nazywał się 35. prezydent Stanów Zjednoczonych, który zginął 22 listopada 1963 roku w zamachu w Bostonie?	Harry Truman	Lyndon Johnson	John Kennedy	Richard Nixon
Świat polityki	Kto w latach 1998-2005 był Kanclerzem Niemiec?	Angela Merkel	Gerhard Schroder	Helmut Kohl	Helmut Schmidt
Świat polityki	Kto był pierwszym premierem Polski po przemianach w 1989 r.?	Lech Wałęsa	Wojciech Jaruzelski	Tadeusz Mazowiecki	Jacek Kuroń
Świat polityki	W jakich latach Kazimierz Marcinkiewicz pełnił funkcję Prezesa Rady Ministrów?	2004-2005	2005-2006	2006-2007	2007-2008
Świat polityki	Którym z kolei prezydentem III Rzeczpospolitej jest Andrzej Duda?	czwartym	piątym	szóstym	siódmym
Świat polityki
Świat polityki
Świat polityki
Świat polityki
Ciekawostki	Co to za instrument ? 	cytra	kitara	gęśle	gitara	c5.jpg
Ciekawostki	Do czego służy przyrząd na obrazku?	zabawy przez dzieci	ozdoby	pomiaru temperatury	pomiaru wilgotności	c1.jpg
Ciekawostki	Hiszpański osioł widoczny na zdjęciu służył do...?	tortur	zabaw erotycznych	gotowania	kucia mieczy	c2.JPG
Ciekawostki	Jak nazywa się i do czego służy widoczny na obrazku przedmiot?	udrarzniania rzek	kopania okopów	kopania rowów melioracyjnych	orania w polu	c3.jpg
Ciekawostki	Co to jest ?	cep	młot	obuch	pałka	c4.jpg
Ciekawostki	Ja nazywamy ten fenomen geograficzny ?	Brama do piekła	Studnia Thora	Dziura Ozyrysa 	Recto Baala	c6.jpg
Ciekawostki
Ciekawostki
Ciekawostki
Ciekawostki
Historia Polski	W którym roku nastąpił pierwszy rozbiór Polski?	1772	1773	1673	1672
Historia Polski	Czyje siły (pod czyim dowództwem) rozgromił Jan III Sobieski w bitwie pod Wiedniem?	Mahmeda IV	Kary Mustafy	Tuhaj-beja	Sulejmana Wspaniałego
Historia Polski	Kto był ostatnim królem Polski?	Mieszko I	Jan III Sobieski	Stanisław August Poniatowski	Zygmunt III Waza
Historia Polski	Kiedy (data dzienna) wybuchło Powstanie Warszwskie?	1 VIII	1 IX	15 VIII	11 XI
Historia Polski	W następstwie bitwy pod jakim miejscem zmarł w niewoli syn hetmana wielkiego koronnego Stefan Potocki?	pod Beresteczkiem	pod Żółtymi Wodami	pod Zbarażem	pod Chocimiem
Historia Polski	Panowanie którego władcy zakończyło okres rozbicia dzielnicowego w Polsce?	Władysława Łokietka	Kazimierza Wielkiego	Kazimierza Odnowiciela	Bolesława Krzywoustego
Historia Polski	W którym roku zawieszono Dzwon Zygmunt na Wawelu?	1521	1551	1572	1575
Historia Polski	Jakie miasto zostało przyłączone do Polski dzięki pozorowanej akcji buntu gen. Lucjana Żeligowskiego w 1920 r.?	Ryga	Wilno	Smoleńsk	Lwów
Historia Polski
Historia Polski
Historia powszechna	Jaki król stacił głowę w wyniku Wielkiej Rewolucji Francuskiej?	Król Słońce	Ludwik XVII	Ludwik XVI	Ludwik XVIII
Historia powszechna	Ile tez ogłosił w 1517 roku Marcin Luter?	12	95	108	101
Historia powszechna	W którym roku wybuchła I Wojna Światowa?	1845	1918	1905	1914
Historia powszechna	Data upadku Rzymu wyznacza najczęściej koniec starożytności. Wydarzenie to miało miejsce w którym roku?	309 r. n. e.		490 r. n. e.	525 r. n. e.
Historia powszechna	Jakie miasto było stolicą Cesarstwa Karola Wielkiego?	Moguncja	Verdun	Rzym	Akwizgran
Historia powszechna	W jakim mieście 1 grudnia 1943 odbyła się konferencja Wielkiej Trójki?	w Teheranie	w Jałcie	w Poczdamie	w Sewastopolu
Historia powszechna
Historia powszechna
Historia powszechna
Historia powszechna
Przysłowia	Uzupełnij przysłowie: czasem […] się zlituje, że człek niby wiosnę czuje; ale czasem tak się […], że człek prawie nie wytrzyma	marzec, trzyma	styczeń, trzyma	luty, trzyma	luty, zżyma
Przysłowia	Uzupełnij przysłowie: dla dwóch […] za mało miejsca na jednym […]	kogutów gnoju	liliputów kurniku	kogutów kurniku	liliputów gnoju
Przysłowia	Uzupełnij przysłowie: gdy pająk w […] przychodzi, to za sobą deszcz przywodzi, gdy swą pajęczynę snuje, bliską burzę czuje	lecie	lipcu	sierpniu	wiosnę
Przysłowia	Kogo według przysłowia trzeba bić żeby mu wątroba nie gniła?	babę	chłopa	księdza	teściową
Przysłowia	W jaki dzień tygodnia ścieli przysłowowemu indykowi głowę?	piątek	niedziela	sobota	wtorek
Przysłowia	Uzupełnij przysłowie: "Agnieszka łaskawa [...] skowronka z rękawa"	puszcza	uwalnia	ratuje	wyciąga
Przysłowia	Na jakim polu nie powinno zwierzać się z tajemnic?	z drzewami	z domami	z pagórkami	ze słupami
Przysłowia	Dokończ przysłowie: "dobra psu i mucha, kiedy [...]"	sama wleci do brzucha	sama za uchem nie grucha	siedzi na grzechocie	lata w samolocie
Przysłowia	W którego Świętego wspomnienie ma spaść deszcz w myśl tego przysłowia : "gdy w [...] deszcz spadnie, lekka zima będzie snadnie"	Teodora	Tarsycjusza	Michała	Marcina
Przysłowia	Uzupełnij przysłowie : co Anglik [...], Francuz [...], a Niemiec doma nakrupi, wszystko to głupi Polak [...]	zmyśli skréśli kupi	zmyśli skreśli zdupi	zmajstruje zepsuje odkupi	zepsuje zmyśli zakreśli
Muzyka klasyczna	Ile klawiszy ma typowy współczesny fortepian?	88	89	84	78
Muzyka klasyczna	Jak oznaczamy w muzyce fokreślenie dynamiczne fortissimo?	fs	ft	ff	f
Muzyka klasyczna	Określenie allegro odnosi się do jakiego rodzaju tempa?	wolne	żywe	umiarkowane	szybkie
Muzyka klasyczna	Kto jest kompozytorem odsłuchanego utworu?	Mozart	Fryderyk Chopin	Karol Szymanowski 	Schubert				Materiał muzyczny1
Muzyka klasyczna	Ile symfonii napisał Ludwik van Beethoven?	10	13	14	11
Muzyka klasyczna
Muzyka klasyczna	"Dziadek do Orzechów" jest jaką formą muzyczną?	opera	balet	sonata	wariacja
Muzyka klasyczna	Do czego w muzyce służy kalafonia?	wyrobu instrumentów	do konserwacji fortepianu	do nacierania włosia smyczków	do przechowywania instrumentów
Muzyka klasyczna	Znany utwór Igora Strawińskiego to święto czego?	wiosny	ojczyzny	niepodległości	zwycięstwa
Muzyka klasyczna
Sztuka kulinarna	Skąd do Polski trafiła marchew?	z Niemiec	z Włoch	Z Francji	z Turcji
Sztuka kulinarna	Jaki kwas powstaje podczas kiszenia kapusty lub ogórków?	mlekowy	octowy	mrówkowy	askorbinowy
Sztuka kulinarna
Sztuka kulinarna	Jaki kraj jest ojczyzną potrawy o nazwie paella?	Francja	Hiszpania	Włochy	Portugalia
Sztuka kulinarna	W co zawijane są sajgonki?	kapustę pekińską	papier ryżowy	papier sojowy	papier z glonów morskich
Sztuka kulinarna	Z jakiego mleka produkowany jest ser feta?	owczego	koziego	krowiego	owczego i krowiego
Sztuka kulinarna	Czego nie może jeść chory na celiakię?	laktozy	gorczycy	cukru	glutenu
Sztuka kulinarna	Skąd pochodzi serek tofu?	z Indii	z Indonezji	z Chin	Z Turcji
Sztuka kulinarna	Skąd pochodzi ser Cheddar?	z Anglii	z Francji	ze Szwajcarii	z Holandii
Sztuka kulinarna
Geografia	Jakie jezioro jest największe na świecie?	Jezioro Wiktorii	Morze Kaspijskie	Jezioro Górne	Jezioro Huron
Geografia	Ile łącznie szczytów liczy Korona Gór Polski?	28	22	26	30
Geografia	U wybrzeży którego kontynentu znajduje się najgłębszy rów oceaniczny?	Afryki	Europy	Azji	Ameryki Północnej
Geografia	Jaka jest najwyższa góra na świecie biorąc pod uwagę jej wysokość od podnóża po szczyt?	wulkan Mauna Kea	Mount Everest	K2	Elbrus
Geografia	Jak nazywa się najdłuższa rzeka Ameryki Północnej?	Arkansas	Kolorado	Missisipi	Mackenzie
Geografia	Przez ile państw przebiega pasmo gór Karpaty?	5	8	10	11
Geografia	Które z wymienionych mórz jest największe?	Morze Śródziemne	Morze Wedella	Morze Filipińskie	Morze Arabskie
Geografia	Która pustynia jest największa na świecie?	Sahara	Wielka Pustynia Piaszczysta	Gobi	Antarktyda
Geografia	Jakie Góry rozgraniczają Francję i Hiszpanię?	Alpy	Pireneje	Apeniny	Harz
Geografia	Jak nazywa się najmniejsze państwo na świecie?	Watykan	Monako	Luksemburg	San Marino
Motoryzacja	Kto uruchomił pierwszą wielkoseryjną produkcję samochodów?	Henry Ford	Carl Benz	Vincenzo Lancia	August Horch
Motoryzacja	Jaką energią jest zasilany samochód marki Tesla?	spalinową	słoneczną	elektryczną	jądrową
Motoryzacja	Jak nazywa się polska firma produkująca min autobusy miejskie, posiadająca główną siedzibę w Bolechowie?	Newag	Solaris	Autosan	MAN
Motoryzacja	Ile miminum dyferencjałów powinno posiadać auto o napędzie 4x4?	1	2	3	4
Motoryzacja	Gdzie w samochodzie wykorzystywany jest układ ABS?	W silniku	W skrzyni biegów	W hamulcach	W sprzęgle
Motoryzacja	Która firma wyprodukowała następujące modele samochodów: Supra, Hilux, Verso, Auris?	Toyota	Audi	Peugot	Skoda
Motoryzacja	Jaką inną nazwą określa się Fiata 125p?	Kaszlak	Maluch	Gazik	Duży Fiat
Motoryzacja	Jak inaczej nazywa się silnik wysokoprężny (samozapłonowy)?	silnik spalinowy	silnik wysokoprężny	silnik Wankla	silnik Diesla
Motoryzacja	Gdzie miała główną siedzibę polska firma WSK produkująca motocykle?	w Krakowie	w Łodzi	w Świdniku	w Bydgoszczy
Motoryzacja	Z jakiego kraju pochodzi marka Saab?	ze Szwecji	z Finlandii	z Austrii	z Norwegii
Sport	Kto zdobył najwięcej złotych medali w historii nowożytnych Igrzysk Olimpijskich?	Martir Bjoergen	Michael Phelps 	Paavo Nurmi	Carl Lewis
Sport	Kto jest najbardziej utytułowanym kierowcą w historii rajdów WRC?	Sebastian Loeb	Sebastian Ogier 	Colin McRae	Carlos Sainz
Sport	Kto wygrał najwięcej etapów wyścigu kolarski Tour de France?	Lance Armstrong	Bernard Hinault	Mark Cavendish	Eddy Merx
Sport	W którym roku tenis zadebiutował na Letnich Igrzyskach Olimpijskich?	1988	1976	1896	1900
Sport	Jaki skrót nosi największa zawodowa liga futbolu amerykańskiego?	MLS	NHL	NBA	NFL
Sport	W jakim sporcie jeździ się na koniu na trawiastym boisku i strzela się białą piłką do bramki przeciwnika?	w woltyżerce	w polo	w hippice	w hipoterapii
Sport	Na jakim torze odbył się pierwszy wiścig Formuły 1?	Monza 	Silverstone	Hungaroring	Nurburgring
Sport	Gdzie odbędą się Zimowe Igrzyska Olimpijskie w 2018 roku?	w Tokio	w Soczi	w Pjonczang	w Monachium
Sport	Jakie polskie miasto jest gospodarzem corocznych zawodów z cyklu Pucharu Świata w skokach narciarskich na skoczni im. Stanisława Marusarza?	Zakopane	Wisła	Szczyrk	Poronin
Sport	Ilu łącznie zawodników przebywa na parkiecie podczas meczu koszykarskiego?	6	8	12	10
